Date,Open,High,Low,Close,Adj Close,Volume
2021-11-01,995.559998,1045.359985,960.840027,965.630005,965.630005,2833900
2021-12-01,969.900024,1034.869995,949.859985,1033.979980,1033.979980,3218300
2022-01-01,1038.969971,1041.290039,835.549988,872.869995,872.869995,2845200
2022-02-01,887.849976,914.919983,837.830017,881.070007,881.070007,1943700
2022-03-01,880.619995,944.919983,864.690002,944.530029,944.530029,1406200
2022-04-01,940.489990,953.059998,888.969971,904.750000,904.750000,4537300
2022-05-01,894.030029,912.669983,831.590027,893.359985,893.359985,936800
2022-06-01,890.469971,899.010010,714.380005,745.440002,745.440002,1355200
2022-07-01,748.200012,807.770020,722.729980,803.619995,803.619995,952100
2022-08-01,804.150024,836.489990,775.330017,807.039978,807.039978,4595900
2022-09-01,800.739990,801.020020,661.650024,672.650024,672.650024,727400
2022-10-01,685.190002,707.590027,650.390015,695.330017,695.330017,18400
2022-11-01,695.450012,746.619995,683.739990,729.539978,729.539978,2368800
2022-12-01,740.969971,744.559998,675.799988,679.289978,679.289978,4927300
2023-01-01,683.840027,718.900024,660.320007,717.969971,717.969971,1931600
2023-01-20,712.320007,718.030029,712.320007,717.969971,717.969971,1006210
